timestep,env_id,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11
0,0,1.27510404586792,-23.700000762939453,6.289485931396484,17.99121856689453,1.7244535684585571,23.700000762939453,0.23243308067321777,-7.865346908569336,-0.376171350479126,-0.7760872840881348,-1.4065699577331543,23.700000762939453
0,1,-1.1106687784194946,-23.700000762939453,15.00250244140625,12.381195068359375,9.355609893798828,-2.9530951976776123,0.3866567611694336,-0.11754322052001953,5.479109764099121,-0.20884722471237183,-2.145583152770996,17.331228256225586
1,0,-0.3880491256713867,-17.122657775878906,-5.025295257568359,18.183311462402344,2.200394630432129,1.8251957893371582,-0.10783088207244873,-0.09578704833984375,-1.4583089351654053,-2.568282127380371,-1.1718106269836426,23.700000762939453
1,1,0.02396106719970703,-23.700000762939453,18.084030151367188,-3.449552536010742,-8.791293144226074,-13.2211275100708,-16.764223098754883,1.4893064498901367,-3.3474292755126953,-16.898141860961914,0.3168067932128906,-1.0921611785888672
2,0,-1.9402179718017578,-23.700000762939453,5.5466766357421875,10.898669242858887,-1.0211029052734375,-1.605994701385498,0.35083961486816406,2.0298242568969727,-2.140881061553955,1.7851877212524414,-1.771653413772583,23.700000762939453
2,1,-0.32317066192626953,-11.062187194824219,0.22344255447387695,1.7378613948822021,4.224837779998779,-23.700000762939453,4.960269927978516,1.8334436416625977,0.26035094261169434,-10.738248825073242,0.29250097274780273,9.930116653442383
3,0,0.5445742607116699,-21.717369079589844,2.690093994140625,14.854240417480469,3.523773193359375,13.290199279785156,0.3017706871032715,11.078482627868652,1.0039379596710205,0.022240877151489258,0.21099328994750977,22.979148864746094
3,1,3.075279712677002,-16.50709342956543,-2.3242311477661133,3.36146879196167,12.847210884094238,-23.700000762939453,-5.930911064147949,5.902268409729004,2.6334238052368164,22.198986053466797,-2.5547170639038086,5.862676620483398
4,0,-1.030395746231079,-20.420804977416992,2.656329870223999,16.512107849121094,-3.8377885818481445,11.27042293548584,-1.18412446975708,-1.689354419708252,0.6324706077575684,-0.1931394338607788,-1.0542486906051636,6.056652545928955
4,1,1.896803855895996,-11.112373352050781,2.2720508575439453,0.03614234924316406,1.1435670852661133,11.051660537719727,0.3365621566772461,0.0283050537109375,-2.488088607788086,23.700000762939453,-2.7963428497314453,-2.7068471908569336
5,0,-0.5379409790039062,-5.629372596740723,5.772107124328613,0.3459482192993164,-3.259161949157715,4.604509353637695,-0.49818897247314453,0.34018540382385254,0.23778069019317627,1.4091949462890625,-2.8992910385131836,0.7888827323913574
5,1,-4.43625020980835,-4.775407314300537,5.60976505279541,1.3230161666870117,-5.531966209411621,19.655868530273438,-12.912233352661133,7.44995641708374,-0.46668100357055664,2.8556461334228516,-5.98663854598999,3.742262840270996
